index,Наименование параметра,262Д
0,Основные параметры станка,
1,"Диаметр выдвижного расточного шпинделя, мм",110
2,"Высота оси шпинделя над столом, мм",45..800
3,"Наибольший диаметр расточки шпинделем, мм",
4,"Наибольшая длина расточки шпинделем, мм",
5,"Наибольший диаметр расточки суппортом планшайбы, мм",-
6,"Наибольшая длина расточки и обточки суппортом планшайбы, мм",-
7,"Наибольший диаметр сверла (по конусу), мм",
8,Шпиндельная бабка. Шпиндель. ПланШайба,
9,"Наибольшее горизонтальное (осевое) перемещение шпинделя, мм",600
10,"Частота вращения выдвижного расточного шпинделя, об/мин",20..1000
11,Количество скоростей шпинделя,18
12,"Пределы рабочих подач шпинделя, мм/об",005..16
13,"Пределы рабочих подач радиального суппорта, мм/об",-
14,"Пределы рабочих подач шпиндельной бабки, мм/об",0025..8
15,"Наибольшее вертикальное перемещение шпиндельной бабки (установочное), мм",
16,"Скорость быстрых перемещений шпиндельной бабки, м/мин",
17,"Скорость быстрых перемещений шпинделя, м/мин",
18,"Скорость вращения планшайбы, об/мин",20..1000
19,Количество скоростей планшайбы,18
20,Возможность отключения вращения планшайбы,
21,Возможность одновременной подачи суппорта и шпинделя,
22,"Наибольшее перемещение радиального суппорта планшайбы, мм",-
23,"Скорость быстрых перемещений радиального суппорта, м/мин",
24,Внутренний конус шпинделя,
25,"Наибольший крутящий момент на шпинделе, кгс*м",220
26,"Наибольший крутящий момент на планшайбе, кгс*м",
27,"Наибольшее усиление подачи шпинделя, кгс",
28,"Наибольшее усилие подачи суппорта, кгс",
29,"Наибольшее усиление подачи бабки, кгс",
30,"Нарезаемая метрическая резьба, мм",1...10
31,"Нарезаемая дюймовая резьба, число ниток на 1""",
32,Стол,
33,"Рабочая поверхность стола, мм",
34,"Наибольшая масса обрабатываемого изделия, кг",
35,"Наибольшее перемещение стола (вдоль х поперек), мм",1225 х 1850
36,"Пределы рабочих подач стола (вдоль и поперек), мм/об",005..16
37,"Наибольшее усиление подачи стола (вдоль и поперек), кгс",1300
38,"Деление шкалы лимба, мм",
39,"Деление шкалы лимба поворота стола, град",
40,Выключающие упоры,
41,"Скорость быстрых перемещений, м/мин",
42,"Скорость быстрых установочных круговых перемещений, об/мин",
43,Привод,
44,Количество электродвигателей на станке,
45,"Электродвигатель привода главного движения Мощность, кВт (об/мин)","6,5/ 7"
46,"Электродвигатель привода подачи, кВт",
47,"Привод поворота стола, кВт",
48,Габариты и масса станка,
49,"Габариты станка, включая ход стола и салазок, мм",5070 х 2250 х 2755
50,"Масса станка, кг",11350
